registry_id,metric,guide,negatives_in_guide,point_estimate,leave_one_guide_value,delta
S7F_R1,auroc,635,0,0.8487650389652498,0.8485497157442858,-0.00021532322096395884
S7F_R1,auroc,804,0,0.8487650389652498,0.8484777535690652,-0.00028728539618461113
S7F_R1,auroc,1018,0,0.8487650389652498,0.8484932333853197,-0.0002718055799301178
S7F_R1,auroc,1026,0,0.8487650389652498,0.8486254488113504,-0.00013959015389941598
S7F_R1,auroc,1028,14,0.8487650389652498,0.8358060304893455,-0.012959008475904255
S7F_R1,auroc,1044,12,0.8487650389652498,0.837698109128403,-0.011066929836846762
S7F_R1,auroc,1060,13,0.8487650389652498,0.8377443099030297,-0.01102072906222007
S7F_R1,auroc,1088,12,0.8487650389652498,0.8375816966290266,-0.011183342336223201
S7F_R1,auroc,1120,14,0.8487650389652498,0.8363577023498695,-0.012407336615380293
S7F_R1,auroc,1408,9,0.8487650389652498,0.840331457925636,-0.00843358103961378
S7F_R1,auroc,1505,0,0.8487650389652498,0.8518578287809058,0.003092789815655972
S7F_R1,auroc,3265,0,0.8487650389652498,0.8463414730488779,-0.002423565916371939
S7F_R1,auroc,3300,0,0.8487650389652498,0.8393363400712739,-0.009428698893975906
S7F_R1,auroc,3420,0,0.8487650389652498,0.917215861695537,0.06845082273028724
S7F_R1,auroc,7696,0,0.8487650389652498,0.8394355357615978,-0.009329503203652001
S7F_R1,auroc,8319,0,0.8487650389652498,0.8414246636474828,-0.0073403753177669895
S7F_R1,auroc,8420,0,0.8487650389652498,0.8135410913872452,-0.03522394757800462
S7F_R1,auroc,9251,80,0.8487650389652498,0.9104446685901496,0.06167962962489981
S7F_R1,auroc,10597,0,0.8487650389652498,0.849093101542481,0.0003280625772311696
S7F_R1,auroc,10599,0,0.8487650389652498,0.8463648915187376,-0.0024001474465121797
S7F_R1,auroc,10957,0,0.8487650389652498,0.8484932333853197,-0.0002718055799301178
S7F_R1,auroc,10990,0,0.8487650389652498,0.8524796927613543,0.0037146537961044723
S7F_R1,auroc,11012,0,0.8487650389652498,0.8482355223591037,-0.0005295166061460854
S7F_R1,auroc,11173,0,0.8487650389652498,0.8364190952031785,-0.01234594376207132
S7F_R1,auroc,11299,0,0.8487650389652498,0.8480063603635827,-0.0007586786016671176
S7F_R1,auroc,11487,0,0.8487650389652498,0.8478725474929928,-0.0008924914722570065
S7F_R1,auroc,11506,8,0.8487650389652498,0.8882190823062664,0.039454043341016654
S7F_R1,mcc,228,7,0.5004602380209762,0.5064806947880881,0.006020456767111937
S7F_R1,mcc,278,0,0.5004602380209762,0.5002516039099546,-0.00020863411102156615
S7F_R1,mcc,635,0,0.5004602380209762,0.5004158368919555,-4.440112902071025e-05
S7F_R1,mcc,804,0,0.5004602380209762,0.5004009996341434,-5.923838683274951e-05
S7F_R1,mcc,1018,0,0.5004602380209762,0.5004009996341434,-5.923838683274951e-05
S7F_R1,mcc,1026,0,0.5004602380209762,0.5004306556860731,-2.95823349030222e-05
S7F_R1,mcc,1028,14,0.5004602380209762,0.4695117423064294,-0.030948495714546775
S7F_R1,mcc,1044,12,0.5004602380209762,0.45968107900293526,-0.04077915901804091
S7F_R1,mcc,1060,13,0.5004602380209762,0.486884795236264,-0.013575442784712177
S7F_R1,mcc,1088,12,0.5004602380209762,0.44688015994938457,-0.0535800780715916
S7F_R1,mcc,1120,14,0.5004602380209762,0.5252709624173446,0.024810724396368444
S7F_R1,mcc,1408,9,0.5004602380209762,0.46160084222352804,-0.038859395797448126
S7F_R1,mcc,1505,0,0.5004602380209762,0.4997293423783635,-0.0007308956426126945
S7F_R1,mcc,3265,0,0.5004602380209762,0.4999316945752531,-0.000528543445723062
S7F_R1,mcc,3300,0,0.5004602380209762,0.49854464961592626,-0.0019155884050499061
S7F_R1,mcc,3420,0,0.5004602380209762,0.4945593766168259,-0.005900861404150248
S7F_R1,mcc,7696,0,0.5004602380209762,0.498440732840873,-0.002019505180103187
S7F_R1,mcc,8319,0,0.5004602380209762,0.4988682640482699,-0.0015919739727062732
